2016348	2 8 9	19	45,846,326	13336	1,040	 	 	21751	173	2016-12-20
2016347	8 0 6	14	45,118,676	24994	1,040	 	 	39097	173	2016-12-19
2016346	0 2 9	11	43,957,972	10691	1,040	 	 	32479	173	2016-12-18
2016345	5 5 9	19	43,946,466	11521	1,040	9952	346	 	 	2016-12-17
2016344	3 6 7	16	43,810,790	20298	1,040	 	 	51564	173	2016-12-16
2016343	2 2 5	9	44,529,884	14151	1,040	12296	346	 	 	2016-12-15
2016342	4 4 8	16	43,937,532	9641	1,040	8579	346	 	 	2016-12-14
2016341	1 5 1	7	45,244,674	8367	1,040	11033	346	 	 	2016-12-13
2016340	4 9 3	16	43,981,072	23726	1,040	 	 	35632	173	2016-12-12
2016339	2 6 2	10	43,039,880	11446	1,040	14179	346	 	 	2016-12-11
2016338	3 0 1	4	42,022,660	31697	1,040	 	 	41760	173	2016-12-10
2016337	2 9 9	20	46,263,506	15866	1,040	13402	346	 	 	2016-12-09
2016336	0 9 7	16	44,799,792	9043	1,040	 	 	22013	173	2016-12-08
2016335	5 5 0	10	46,286,226	8557	1,040	12020	346	 	 	2016-12-07
2016334	1 8 9	18	44,846,308	30505	1,040	 	 	49499	173	2016-12-06
2016333	0 5 4	9	43,419,912	19621	1,040	 	 	41892	173	2016-12-05
2016332	7 7 6	20	43,761,868	13945	1,040	19304	346	 	 	2016-12-04
2016331	9 8 3	20	43,134,226	12328	1,040	 	 	25603	173	2016-12-03
2016330	3 1 8	12	44,177,708	21012	1,040	 	 	24105	173	2016-12-02
2016329	2 4 4	10	44,087,274	19113	1,040	19799	346	 	 	2016-12-01
2016328	7 0 9	16	44,190,290	11045	1,040	 	 	18607	173	2016-11-30
2016327	8 3 1	12	42,539,856	16535	1,040	 	 	49158	173	2016-11-29
2016326	6 9 0	15	42,541,846	12287	1,040	 	 	26668	173	2016-11-28
2016325	9 6 1	16	41,473,742	18208	1,040	 	 	36690	173	2016-11-27
2016324	6 6 3	15	40,346,660	13893	1,040	18042	320	 	 	2016-11-26
2016323	8 7 7	22	44,710,760	9281	1,040	14283	346	 	 	2016-11-25
2016322	1 5 3	9	43,358,478	11356	1,040	 	 	29784	173	2016-11-24
2016321	8 3 2	13	40,879,448	31748	1,040	 	 	53307	173	2016-11-23
2016320	5 2 9	16	40,866,434	31887	1,040	 	 	47034	173	2016-11-22
2016319	5 5 7	17	42,103,764	8974	1,040	12322	346	 	 	2016-11-21
2016318	4 7 0	11	41,311,046	9809	1,040	 	 	26471	173	2016-11-20
2016317	2 4 3	9	39,283,724	16992	1,040	 	 	35736	173	2016-11-19
2016316	7 7 4	18	40,201,326	10732	1,040	12298	346	 	 	2016-11-18
2016315	8 8 8	24	42,870,330	67131	1,040	 	 	 	 	2016-11-17
2016314	1 5 7	13	42,162,790	11436	1,040	 	 	25929	173	2016-11-16
2016313	3 7 3	13	41,153,572	7766	1,040	9993	346	 	 	2016-11-15
2016312	1 1 3	5	42,672,804	8384	1,040	9331	346	 	 	2016-11-14
2016311	3 9 8	20	42,642,760	17694	1,040	 	 	29562	173	2016-11-13
2016310	0 4 5	9	42,064,528	6283	1,040	 	 	18783	173	2016-11-12
2016309	8 3 0	11	42,892,722	25977	1,040	 	 	51110	173	2016-11-11
2016308	7 4 3	14	39,908,614	10877	1,040	 	 	27867	173	2016-11-10
2016307	9 9 7	25	40,973,656	16349	1,040	10600	346	 	 	2016-11-09
2016306	0 7 3	10	40,487,244	13447	1,040	 	 	33588	173	2016-11-08
2016305	7 4 4	15	40,425,628	13576	1,040	23132	346	 	 	2016-11-07
2016304	8 5 6	19	41,529,302	10865	1,040	 	 	24301	160	2016-11-06
2016303	8 0 1	9	39,691,252	9223	1,040	 	 	27349	173	2016-11-05
2016302	6 5 6	17	43,677,508	14754	1,040	15703	346	 	 	2016-11-04
2016301	5 7 2	14	42,545,742	31089	1,040	 	 	41279	173	2016-11-03
2016300	8 0 5	13	42,179,804	11541	1,040	 	 	25222	173	2016-11-02
2016299	0 4 5	9	41,445,288	14885	1,040	 	 	23653	173	2016-11-01
2016298	6 5 1	12	41,043,580	20826	1,040	 	 	38529	173	2016-10-31
2016297	1 6 0	7	39,095,938	10492	1,040	 	 	22726	173	2016-10-30
2016296	7 8 4	19	37,843,092	5179	1,040	 	 	24531	173	2016-10-29
2016295	7 8 9	24	41,086,940	21965	1,040	 	 	30382	173	2016-10-28
2016294	3 3 4	10	41,483,236	16795	1,040	24375	346	 	 	2016-10-27
2016293	3 2 6	11	41,252,076	13290	1,040	 	 	29964	173	2016-10-26
2016292	5 0 7	12	42,559,570	13858	1,040	 	 	32981	173	2016-10-25
2016291	1 3 7	11	40,888,890	17777	1,040	 	 	37256	173	2016-10-24
2016290	4 3 0	7	39,796,992	8170	1,040	 	 	17169	173	2016-10-23
2016289	3 5 9	17	36,637,668	27867	1,040	 	 	34366	173	2016-10-22
2016288	0 1 0	1	42,021,728	14888	1,040	12873	346	 	 	2016-10-21
2016287	6 2 1	9	40,920,248	13393	1,040	 	 	42946	173	2016-10-20
2016286	9 0 7	16	40,479,204	13261	1,040	 	 	26668	173	2016-10-19
2016285	8 4 8	20	41,472,348	12025	1,040	11844	346	 	 	2016-10-18
2016284	1 4 3	8	41,499,642	9308	1,040	 	 	37056	173	2016-10-17
2016283	7 4 0	11	40,480,304	19901	1,040	 	 	40369	173	2016-10-16
2016282	6 2 6	14	38,372,192	14713	1,040	16678	346	 	 	2016-10-15
2016281	9 9 8	26	42,476,988	14459	1,040	15236	346	 	 	2016-10-14
2016280	3 7 8	18	41,755,336	23129	1,040	 	 	40663	173	2016-10-13
2016279	6 2 4	12	40,203,606	19760	1,040	 	 	27312	173	2016-10-12
2016278	4 3 5	12	40,946,036	15962	1,040	 	 	43221	173	2016-10-11
2016277	0 8 5	13	39,432,884	12225	1,040	 	 	29781	173	2016-10-10
2016276	2 7 7	16	39,972,550	12896	1,040	13342	346	 	 	2016-10-09
2016275	8 7 4	19	39,767,144	7196	1,040	 	 	25564	173	2016-10-08
2016274	8 8 3	19	38,681,282	13603	1,040	23307	346	 	 	2016-10-07
2016273	5 6 5	16	37,064,248	6871	1,040	8643	346	 	 	2016-10-06
2016272	3 7 3	13	36,792,314	12193	1,040	16414	346	 	 	2016-10-05
2016271	4 4 3	11	37,742,022	9689	1,040	10661	346	 	 	2016-10-04
2016270	4 1 1	6	37,761,616	6638	1,040	7041	346	 	 	2016-10-03
2016269	8 6 0	14	36,689,086	7335	1,040	 	 	21489	173	2016-10-02
2016268	1 0 5	6	36,730,246	7857	1,040	 	 	16046	173	2016-10-01
2016267	9 8 9	26	42,928,820	14050	1,040	11964	346	 	 	2016-09-30
2016266	9 1 4	14	40,197,892	24062	1,040	 	 	37320	173	2016-09-29
2016265	5 2 5	12	42,388,164	38254	1,040	30614	346	 	 	2016-09-28
2016264	8 9 8	25	45,461,304	20393	1,040	17305	346	 	 	2016-09-27
2016263	4 8 9	21	44,343,260	13242	1,040	 	 	31036	173	2016-09-26
2016262	6 5 9	20	44,509,880	11167	1,040	 	 	32639	173	2016-09-25
2016261	0 4 9	13	43,155,976	8921	1,040	 	 	27889	173	2016-09-24
2016260	0 6 1	7	46,218,434	5827	1,040	 	 	16198	173	2016-09-23
2016259	3 2 8	13	43,243,140	23076	1,040	 	 	50717	173	2016-09-22
2016258	2 6 6	14	45,396,264	10742	1,040	15927	346	 	 	2016-09-21
2016257	9 7 6	22	45,821,552	23097	1,040	 	 	29301	173	2016-09-20
2016256	6 2 8	16	45,331,496	23306	1,040	 	 	28950	173	2016-09-19
2016255	4 5 1	10	44,518,332	10331	1,040	 	 	19915	173	2016-09-18
2016254	5 6 4	15	43,542,480	12866	1,040	 	 	40495	173	2016-09-17
2016253	2 6 5	13	41,616,574	10321	1,040	 	 	25170	173	2016-09-16
2016252	0 5 2	7	39,993,702	9417	1,040	 	 	26869	173	2016-09-15
2016251	8 6 0	14	43,398,960	31966	1,040	 	 	36923	173	2016-09-14
2016250	4 1 6	11	41,853,568	26574	1,040	 	 	39933	173	2016-09-13
2016249	1 0 9	10	43,506,724	8919	1,040	 	 	19224	173	2016-09-12
2016248	1 3 9	13	41,949,878	10479	1,040	 	 	14351	173	2016-09-11
2016247	4 4 1	9	41,736,174	8256	1,040	9486	346	 	 	2016-09-10
2016246	3 1 9	13	43,001,032	14556	1,040	 	 	39154	173	2016-09-09
2016245	7 6 0	13	41,669,160	18828	1,040	 	 	39090	173	2016-09-08
2016244	6 9 9	24	42,097,386	7960	1,040	7927	346	 	 	2016-09-07
2016243	4 4 6	14	43,952,770	9855	1,040	16134	346	 	 	2016-09-06
2016242	3 9 5	17	42,642,040	13525	1,040	 	 	32682	173	2016-09-05
2016241	4 9 9	22	43,401,280	10234	1,040	13478	346	 	 	2016-09-04
2016240	0 8 7	15	42,939,496	9178	1,040	 	 	34620	173	2016-09-03
2016239	5 6 0	11	45,095,038	31460	1,040	 	 	88988	173	2016-09-02
2016238	0 3 7	10	41,787,074	16482	1,040	 	 	0	173	2016-09-01
2016237	5 3 1	9	41,095,060	7069	1,040	 	 	28067	173	2016-08-31
2016236	8 9 1	18	40,562,520	17430	1,040	 	 	38421	173	2016-08-30
2016235	5 5 4	14	42,092,464	11129	1,040	16683	346	 	 	2016-08-29
2016234	2 0 4	6	42,145,274	7409	1,040	 	 	15578	173	2016-08-28
2016233	6 9 4	19	40,935,824	15042	1,040	 	 	31070	173	2016-08-27
2016232	1 3 2	6	43,508,322	8552	1,040	 	 	30582	173	2016-08-26
2016231	4 5 8	17	44,229,936	15163	1,040	 	 	37990	173	2016-08-25
2016230	4 9 7	20	42,508,308	24757	1,040	 	 	52296	173	2016-08-24
2016229	3 7 8	18	40,315,072	20451	1,040	 	 	34705	173	2016-08-23
2016228	1 8 8	17	41,491,342	11617	1,040	13481	346	 	 	2016-08-22
2016227	6 9 8	23	40,095,056	11908	1,040	 	 	23613	173	2016-08-21
2016226	2 8 9	19	39,424,994	8195	1,040	 	 	19062	173	2016-08-20
2016225	2 1 2	5	43,063,912	6906	1,040	9239	346	 	 	2016-08-19
2016224	2 7 8	17	42,516,996	14131	1,040	 	 	38828	173	2016-08-18
2016223	2 9 7	18	40,547,054	13339	1,040	 	 	34659	173	2016-08-17
2016222	4 0 4	8	40,905,258	8992	1,040	8493	346	 	 	2016-08-16
2016221	8 0 8	16	43,293,408	19650	1,040	13428	346	 	 	2016-08-15
2016220	3 6 7	16	40,778,184	32911	1,040	 	 	54371	173	2016-08-14
2016219	4 1 0	5	38,538,612	20729	1,040	 	 	41196	173	2016-08-13
2016218	2 3 3	8	41,972,872	6635	1,040	8550	346	 	 	2016-08-12
2016217	0 3 8	11	40,562,920	13245	1,040	 	 	33435	173	2016-08-11
2016216	3 3 4	10	40,771,344	8242	1,040	9516	346	 	 	2016-08-10
2016215	1 4 4	9	44,093,920	12154	1,040	16707	346	 	 	2016-08-09
2016214	9 4 2	15	43,073,220	17934	1,040	 	 	38492	173	2016-08-08
2016213	1 7 3	11	42,447,994	8074	1,040	 	 	24187	173	2016-08-07
2016212	0 3 8	11	40,906,620	13339	1,040	 	 	40926	173	2016-08-06
2016211	6 3 4	13	42,142,748	24180	1,040	 	 	45369	173	2016-08-05
2016210	2 7 9	18	41,035,104	18107	1,040	 	 	27899	173	2016-08-04
2016209	0 2 3	5	41,931,180	8206	1,040	 	 	17301	173	2016-08-03
2016208	9 5 0	14	41,160,436	11456	1,040	 	 	18914	173	2016-08-02
2016207	5 9 6	20	42,093,602	14415	1,040	 	 	28054	173	2016-08-01
2016206	1 7 3	11	39,251,110	23140	1,040	 	 	37294	173	2016-07-31
2016205	4 9 9	22	40,108,134	10833	1,040	9256	346	 	 	2016-07-30
2016204	3 2 9	14	42,580,814	8604	1,040	 	 	19773	173	2016-07-29
2016203	9 7 5	21	41,478,544	11896	1,040	 	 	34160	173	2016-07-28
2016202	7 8 4	19	40,083,642	16267	1,040	 	 	41822	173	2016-07-27
2016201	3 2 0	5	41,638,390	14065	1,040	 	 	19409	173	2016-07-26
2016200	9 3 2	14	40,051,532	8001	1,040	 	 	26845	173	2016-07-25
