2018224	816	30	3
2018225	417	160	7
			
2018226	802	967	22
2018227	83	977	23
2018228	764	470	11
2018229	705	556	16
2018230	353	750	12
			
2018231	197	629	17
2018232	182	715	13
2018233	491	579	21
2018234	712	953	17
2018235	234	828	18
			
2018236	201	642	12
2018237	761	631	10
2018238	34	720	9
2018239	799	749	20
2018240	768	506	11
			
2018241	575	215	8
2018242	900	623	11
2018243	394	639	18
2018244	347	364	13
2018245	636	351	9
			
2018246	641	603	9
2018247	353	626	14
2018248	757	251	8
2018249	89	636	15
2018250	79	551	11
			
2018251	275	983	20
2018252	715	67	13
2018253	753	98	17
2018254	535	657	18
2018255	630	289	19
			
2018256	48	87	15
2018257	438	94	13
2018258	175	300	3
2018259	11	10	1
2018260	420	474	15
			
2018261	474	809	17
2018262	537	532	10
2018263	691	813	12
2018264	302	4	4
2018265	47	648	18
			
2018266	198	621	9
2018267	926	1	1
2018268	826	728	17
2018269	843	659	20
2018270	262	349	16
			
2018271	773	536	14
2018272	367	85	13
2018273	811	457	16
2018274	440	557	17
2018275	281	264	12
			
2018276	600	261	9
2018277	605	709	16
2018278	156	563	14
2018279	668	375	15
2018280	481	669	21
			
2018281	103	947	20
2018282	727	617	14
2018283	45	558	18
2018284	84	634	13
2018285	867	982	19
			
2018286	338	691	16
2018287	815	387	18
2018288	835	344	11
2018289	436	954	18
2018290	773	36	9
			
2018291	347	935	17
2018292	616	922	13
2018293	941	895	22
2018294	721	537	15
2018295	973	513	9
			
2018296	12	881	17
2018297	681	289	19
2018298	226	111	3
2018299	672	331	7
2018300	20	777	21
			
2018301	313	926	17
2018302	379	883	19
2018303	640	810	9
2018304	695	340	7
2018305	518	845	17
			
2018306	354	316	10
2018307	44	837	18
2018308	306	682	16
2018309	429	380	11
2018310	215	347	14
			
2018311	15	81	9
2018312	494	256	13
2018313	77	289	19
2018314	483	787	22
2018315	348	88	16
			
2018316	702	708	15
2018317	993	203	5
2018318	295	870	15
2018319	963	216	9
2018320	433	565	16
			
2018321	541	837	18
2018322	85	130	4
2018323	6	924	15
2018324	626	319	13
2018325	156	61	7
			
2018326	433	454	13
