2017013	991	582	15	5	6		2	1	2	6	8	5	3	3	8	2		18	1	4	9	14	5	10	6	7	2		2	9	1	44	8	10	5	3	8	31		10	30	2	6	18	1	3	9	7	2		6	2	1:02	2:01	0:00:03
2017014	898	221	5	5	1		3	1	2	7	9	1	4	4	1	3		19	2	2	10	15	1	11	7	8	3		3	10	2	45	9	11	6	4	1	32		11	1	1	7	19	2	4	10	8	3		1	3	1:02	0:03	0:01:02
2017015	460	950	14	4	9		0	1	1	8	10	5	5	5	2	9		20	3	1	11	16	2	12	8	9	9		4	11	1	46	10	5	7	5	2	33		0	1	2	8	20	3	5	11	9	4		6	1	2:01	2:01	2:00:01
																																																							
2017016	832	469	19	9	5		1	2	2	9	4	1	6	6	3	9		21	4	2	12	4	3	13	9	10	1		5	12	2	47	11	1	6	6	3	34		1	2	3	9	21	4	6	12	10	9		6	2	1:02	2:01	2:01:00
2017017	923	817	16	6	7		2	1	3	10	1	2	1	7	8	1		22	5	3	13	1	4	14	10	8	2		6	1	3	48	12	2	1	7	4	35		2	3	4	10	22	5	7	7	11	1		6	3	2:01	2:01	0:02:01
2017018	400	315	9	9	4		3	1	4	3	2	5	2	1	1	2		23	6	4	3	2	5	15	11	1	3		7	1	4	49	13	3	2	8	5	36		3	4	5	11	23	5	8	1	12	2		6	4	3:00	1:02	1:01:01
2017019	772	606	12	2	6		0	1	5	1	3	1	6	2	2	3		24	7	5	1	3	6	6	12	2	4		0	1	5	50	14	4	3	9	6	37		4	5	6	12	24	1	6	2	13	3		1	3	0:03	2:01	3:00:00
2017020	257	893	20	0	6		1	2	6	3	4	2	1	3	8	9		25	8	6	2	4	7	1	13	8	5		1	2	6	51	15	5	4	10	7	9		5	6	7	3	25	2	1	3	14	4		6	1	2:01	2:01	2:00:01
																																																							
2017021	616	854	17	7	4		2	3	7	1	4	5	2	4	8	1		26	9	7	3	5	8	2	14	8	6		2	3	7	52	16	5	5	11	8	1		6	7	8	1	4	3	2	4	15	5		6	2	1:02	2:01	0:01:02
2017022	862	28	10	0	8		0	4	2	2	1	1	3	5	8	2		0	10	8	4	6	9	3	15	1	7		3	4	2	53	17	1	6	12	9	2		7	8	9	2	1	4	3	5	8	6		6	3	0:03	1:02	1:00:02
2017023	111	250	7	7	5		0	5	2	3	2	5	4	6	1	3		1	11	2	5	7	10	4	16	2	8		4	5	1	54	18	5	7	13	10	3		0	9	10	3	2	5	4	6	1	7		6	4	1:02	1:02	1:00:02
2017024	472	709	16	6	9		0	6	1	4	3	1	5	7	2	9		2	12	1	6	8	11	5	7	3	9		0	6	2	55	19	1	8	14	11	4		1	10	11	4	3	6	5	7	2	9		6	5	2:01	2:01	2:01:00
2017025	481	359	17	7	6		1	7	2	3	4	5	6	1	3	9		3	13	2	3	9	12	6	1	4	10		1	7	3	56	20	5	9	15	12	5		2	11	12	5	4	7	6	8	3	9		6	6	3:00	2:01	2:00:01
																																																							
2017026	978	259	16	6	7		2	8	2	1	5	5	7	2	4	9		4	14	2	1	10	13	7	2	5	11		2	8	4	57	21	5	10	16	13	6		3	12	13	6	5	8	7	9	4	9		6	7	2:01	2:01	1:00:02
2017027	150	873	18	8	5		3	9	1	3	6	1	8	7	8	1		5	15	1	2	11	14	8	3	8	12		3	9	5	58	22	1	11	7	14	7		4	13	14	3	6	9	8	10	5	1		6	8	2:01	2:01	1:01:01
2017028	579	193	13	3	8		4	1	2	3	7	2	9	1	1	9		6	1	2	3	12	15	9	4	1	13		4	10	6	59	23	2	12	1	15	9		5	14	15	3	7	10	9	11	6	2		6	9	3:00	1:02	2:01:00
2017029	145	272	11	1	5		5	1	2	1	8	3	10	7	2	1		7	1	2	4	13	16	10	5	2	14		5	11	7	60	24	3	13	7	16	1		6	15	2	1	8	11	10	12	7	3		1	3	1:02	1:02	0:01:02
2017030	541	107	8	8	7		0	1	1	2	9	4	11	7	3	2		8	1	1	5	14	17	11	6	3	15		0	12	8	61	25	4	14	1	17	2		7	16	1	2	9	12	11	7	8	4		6	1	2:01	1:02	1:02:00
																																																							
2017031	579	376	16	6	4		1	1	2	3	10	5	6	7	4	3		9	1	2	3	15	18	12	7	4	16		1	13	9	62	26	5	15	7	18	3		8	17	2	3	10	13	6	1	9	5		6	2	2:01	2:01	2:01:00
2017032	394	237	12	2	5		2	2	2	3	11	6	1	7	5	4		10	2	2	1	16	19	13	8	5	17		2	14	10	3	27	6	16	1	19	4		9	18	3	4	11	14	1	7	10	6		6	3	2:01	1:02	1:01:01
2017033	505	114	6	6	3		3	1	1	1	4	7	2	1	6	5		11	1	1	2	17	20	14	9	6	18		3	1	11	1	28	7	17	2	20	5		10	19	4	5	4	15	2	1	11	7		1	3	2:01	0:03	0:03:00
