2012101	294	695	2	1	8	1	1	5	6	5	4	9	8	18	10	13	1	6	6	29	4	3	2	1	10	26	11	9	4	5	6	9	5	4	8	1	14	5	3	22	6	11	20
2012102	883	770	0	2	9	2	2	1	1	7	5	1	9	19	11	14	2	7	1	7	5	4	3	2	11	27	12	10	5	7	7	1	0	5	9	2	15	1	4	23	7	12	14
2012103	743	301	0	1	10	3	3	2	2	1	6	2	10	20	12	3	3	8	2	1	6	5	0	3	12	28	13	11	6	1	8	2	1	1	10	3	16	2	5	24	8	13	4
2012104	535	990	0	1	11	1	4	3	3	2	7	9	11	21	13	1	4	9	3	2	7	9	1	4	13	29	14	12	7	2	9	9	0	1	11	4	17	3	6	25	9	14	18
2012105	215	382	1	2	2	3	5	4	4	3	8	1	12	22	14	3	5	10	4	3	8	1	2	5	14	30	15	13	8	3	8	1	1	2	2	5	18	4	7	26	10	15	13
2012106	746	436	2	3	1	3	4	5	6	4	1	2	13	23	15	1	4	11	5	4	9	2	3	6	15	3	16	14	9	4	1	2	2	3	1	6	19	5	6	27	11	16	13
2012107	411	728	3	4	2	1	1	6	1	7	8	3	14	24	16	2	1	12	6	7	10	3	4	7	2	1	17	15	10	5	2	3	3	4	2	7	20	6	1	28	8	17	17
2012108	890	758	4	5	1	2	2	5	2	7	8	4	15	25	17	3	2	13	7	7	11	4	5	8	1	2	18	5	11	6	3	4	4	5	3	8	21	7	2	29	8	18	20
2012109	013	120	0	1	2	3	3	1	3	1	1	5	16	1	18	4	3	14	8	1	12	5	6	9	2	3	19	1	12	7	4	5	0	6	4	9	22	8	3	30	1	19	3
2012110	791	645	1	1	1	4	4	5	6	2	2	6	17	1	19	5	4	15	6	2	13	6	7	10	1	4	4	2	13	8	5	6	1	7	5	10	23	5	4	31	2	20	15
2012111	638	810	0	1	2	5	1	1	1	3	8	7	18	2	20	6	5	16	1	3	8	7	8	1	2	5	1	3	14	9	6	7	0	8	6	11	24	1	5	32	3	21	9
2012112	370	383	1	1	3	3	2	2	2	4	8	8	19	3	21	3	6	17	2	4	1	8	9	1	3	6	2	4	15	10	8	8	1	9	7	3	25	2	6	33	4	22	14
2012113	480	070	0	2	4	1	3	3	3	7	1	9	0	4	22	1	7	18	3	5	2	9	10	2	4	7	3	5	16	7	1	9	0	10	8	1	26	3	7	34	5	23	7
2012114	627	850	0	3	5	2	4	5	4	1	8	10	1	5	23	2	8	19	4	6	8	10	11	3	5	8	4	5	17	1	2	10	0	11	9	2	27	4	8	35	6	24	13
2012115	542	086	0	4	6	3	5	1	6	2	8	11	0	6	24	3	9	20	5	7	1	11	12	4	6	9	5	1	18	2	8	11	1	12	10	3	28	5	6	36	7	25	14
2012116	240	339	1	5	7	3	6	2	1	3	1	9	1	7	25	3	10	21	6	8	2	12	13	5	7	3	6	2	19	3	1	12	2	13	11	4	29	6	1	37	8	9	15
2012117	700	665	2	6	8	1	7	5	6	4	2	1	2	8	26	1	11	22	6	9	3	13	14	6	8	1	7	3	6	4	2	13	3	14	12	5	30	5	2	38	9	1	17
2012118	299	518	3	1	9	2	8	5	1	5	8	2	3	9	27	2	12	5	1	10	4	14	15	1	9	2	8	4	1	5	3	14	4	15	13	6	31	1	3	39	8	2	14
2012119	262	100	0	1	10	3	9	1	2	6	1	3	4	1	28	3	13	1	2	11	5	15	0	1	10	3	9	5	2	6	4	15	0	16	14	7	32	2	4	40	1	3	1
2012120	432	436	1	1	11	3	4	2	6	7	2	4	5	1	29	4	4	2	3	12	6	16	1	2	11	3	10	6	3	7	5	16	1	17	15	8	33	3	6	41	2	4	13
2012121	373	694	2	2	12	1	4	3	6	8	3	9	6	2	30	5	1	3	6	13	7	17	2	3	12	1	11	7	4	8	6	9	2	18	16	9	4	4	1	42	3	5	19
2012122	939	585	3	3	13	2	1	5	1	9	8	1	7	3	31	6	2	5	1	14	8	18	3	4	13	2	12	8	5	9	8	1	3	19	17	10	1	5	2	43	4	6	18
2012123	910	234	4	4	2	3	4	1	2	10	1	2	8	4	2	7	3	1	2	15	9	19	4	5	14	3	13	9	6	10	1	2	4	20	18	11	4	1	3	44	5	7	9
2012124	382	108	0	1	1	1	1	2	3	11	8	3	9	1	1	8	4	2	3	16	10	20	0	6	15	1	14	10	7	11	2	3	5	21	19	12	1	2	4	45	8	8	9
